dato,skole,elevdag,laererdag,sfodag,kommentar
2017-06-21,Charlottenlund ungdomsskole,nei,nei,nei,Sommerferie
2017-06-22,Charlottenlund ungdomsskole,nei,nei,nei,Sommerferie
2017-06-23,Charlottenlund ungdomsskole,nei,nei,nei,Sommerferie
2017-06-24,Charlottenlund ungdomsskole,nei,nei,nei,Sommerferie
2017-06-25,Charlottenlund ungdomsskole,nei,nei,nei,Sommerferie
2017-06-26,Charlottenlund ungdomsskole,nei,nei,nei,Sommerferie
2017-06-27,Charlottenlund ungdomsskole,nei,nei,nei,Sommerferie
2017-06-28,Charlottenlund ungdomsskole,nei,nei,nei,Sommerferie
2017-06-29,Charlottenlund ungdomsskole,nei,nei,nei,Sommerferie
2017-06-30,Charlottenlund ungdomsskole,nei,nei,nei,Sommerferie
2016-08-01,Dalgård skole og ressurssenter,nei,nei,nei,Sommerferie
2016-08-02,Dalgård skole og ressurssenter,nei,nei,nei,Sommerferie
2016-08-03,Dalgård skole og ressurssenter,nei,nei,nei,Sommerferie
2016-08-04,Dalgård skole og ressurssenter,nei,nei,nei,Sommerferie
2016-08-05,Dalgård skole og ressurssenter,nei,nei,nei,Sommerferie
2016-08-06,Dalgård skole og ressurssenter,nei,nei,nei,Sommerferie
2016-08-07,Dalgård skole og ressurssenter,nei,nei,nei,Sommerferie
2016-08-08,Dalgård skole og ressurssenter,nei,nei,nei,Sommerferie
2016-08-09,Dalgård skole og ressurssenter,nei,nei,nei,Sommerferie
2016-08-10,Dalgård skole og ressurssenter,nei,nei,nei,Sommerferie
2016-08-11,Dalgård skole og ressurssenter,nei,nei,nei,Sommerferie
2016-08-12,Dalgård skole og ressurssenter,nei,nei,nei,Sommerferie
2016-08-13,Dalgård skole og ressurssenter,nei,nei,nei,Sommerferie
2016-08-14,Dalgård skole og ressurssenter,nei,nei,nei,Sommerferie
2016-08-15,Dalgård skole og ressurssenter,ja,ja,ja,Skolestart
2016-08-16,Dalgård skole og ressurssenter,ja,ja,ja,
2016-08-17,Dalgård skole og ressurssenter,ja,ja,ja,
2016-08-18,Dalgård skole og ressurssenter,ja,ja,ja,
2016-08-19,Dalgård skole og ressurssenter,ja,ja,ja,
2016-08-20,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-08-21,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-08-22,Dalgård skole og ressurssenter,ja,ja,ja,
2016-08-23,Dalgård skole og ressurssenter,ja,ja,ja,
2016-08-24,Dalgård skole og ressurssenter,ja,ja,ja,
2016-08-25,Dalgård skole og ressurssenter,ja,ja,ja,
2016-08-26,Dalgård skole og ressurssenter,ja,ja,ja,
2016-08-27,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-08-28,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-08-29,Dalgård skole og ressurssenter,ja,ja,ja,
2016-08-30,Dalgård skole og ressurssenter,ja,ja,ja,
2016-08-31,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-01,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-02,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-03,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-09-04,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-09-05,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-06,Dalgård skole og ressurssenter,ja,ja,ja,
